City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Sakaiminato,JP,35.55,133.2333,46.38,93,40,4.61,scattered clouds
178,Yanam,IN,16.7333,82.2167,81.55,86,28,2.68,scattered clouds
179,Dire Dawa,ET,9.5931,41.8661,78.51,43,14,8.75,few clouds
180,Oulainen,FI,64.2667,24.8,39.81,69,78,13.76,moderate rain
181,Necochea,AR,-38.5473,-58.7368,54.01,52,100,6.17,overcast clouds
182,Thompson,CA,55.7435,-97.8558,24.96,68,40,9.22,scattered clouds
183,Catamarca,AR,-28.4696,-65.7852,67.77,41,77,5.01,broken clouds
184,Haradok,BY,55.4624,29.9816,59.11,73,82,4.76,broken clouds
185,Camacha,PT,33.0833,-16.3333,65.62,64,40,19.57,scattered clouds
186,Mount Pleasant,US,32.7941,-79.8626,85.3,69,75,13.8,broken clouds
187,Paulo Ramos,BR,-4.2167,-45.1833,83.71,77,98,3.51,overcast clouds
188,Vardo,NO,70.3705,31.1107,31.98,80,75,24.16,broken clouds
189,Otane,NZ,-39.8833,176.6333,50.14,91,50,2.35,scattered clouds
190,Mahon,ES,39.8885,4.2658,66.76,59,20,8.05,few clouds
191,Castro,BR,-24.7911,-50.0119,75.4,54,41,8.7,scattered clouds
192,Ilulissat,GL,69.2167,-51.1,22.15,64,100,2.77,overcast clouds
193,Tezu,IN,27.9167,96.1667,72.93,76,99,4.59,light rain
194,Russas,BR,-4.9403,-37.9758,89.65,55,59,6.15,broken clouds
195,Ust-Maya,RU,60.4167,134.5333,27.57,95,100,6.62,light snow
196,Chuy,UY,-33.6971,-53.4616,62.28,62,92,9.28,overcast clouds
197,Lagoa,PT,39.05,-27.9833,61.97,77,10,6.08,clear sky
198,Hualmay,PE,-11.0964,-77.6139,70.83,70,97,9.04,overcast clouds
199,Khatanga,RU,71.9667,102.5,11.84,92,96,8.7,overcast clouds
200,Hasaki,JP,35.7333,140.8333,50.4,77,96,20.45,overcast clouds
201,Akureyri,IS,65.6835,-18.0878,35.53,55,75,2.3,broken clouds
202,Gat,IL,31.61,34.7642,75.4,46,94,14.52,overcast clouds
203,Adre,TD,13.4667,22.2,92.44,8,8,4.74,clear sky
204,Uyuni,BO,-20.4597,-66.825,55.27,13,0,22.53,clear sky
205,Sitka,US,57.0531,-135.33,44.6,75,87,5.17,overcast clouds
206,Mayumba,GA,-3.432,10.6554,79.9,86,100,4.27,overcast clouds
207,Khani,GE,41.9563,42.9566,44.17,98,100,1.39,overcast clouds
208,Esperanza,DO,19.5847,-70.9849,85.3,65,100,5.99,overcast clouds
209,Gorontalo,ID,0.5412,123.0595,75.97,95,97,1.74,overcast clouds
210,Mingoyo,TZ,-10.1,39.6333,73.8,79,37,3.62,scattered clouds
211,Livingston,GB,55.9029,-3.5226,54.84,71,75,12.66,broken clouds
212,Troitskaya,RU,43.3056,44.9789,48.22,94,100,6.06,light rain
213,Copiapo,CL,-27.3667,-70.3333,56.89,32,44,7.83,scattered clouds
214,Talcahuano,CL,-36.7167,-73.1167,56.88,67,0,8.05,clear sky
215,Jalu,LY,29.0331,21.5482,71.67,48,0,25.1,clear sky
216,Yellowknife,CA,62.456,-114.3525,39.72,48,20,11.5,few clouds
217,Nanakuli,US,21.3906,-158.1547,76.95,78,100,3.44,overcast clouds
218,Easley,US,34.8298,-82.6015,83.17,51,0,8.05,clear sky
219,Bintulu,MY,3.1667,113.0333,79.21,94,20,0.0,few clouds
220,Sumenep,ID,-7.0167,113.8667,81.27,78,100,8.61,overcast clouds
221,Saint-Pierre,RE,-21.3393,55.4781,74.88,77,0,5.75,clear sky
222,Kazerun,IR,29.6195,51.6541,72.66,31,0,7.38,clear sky
223,Fairbanks,US,64.8378,-147.7164,44.92,65,75,4.61,broken clouds
224,Tanete,ID,-3.9443,119.7848,74.98,91,44,3.4,scattered clouds
225,Along,IN,28.1667,94.7667,67.1,96,94,2.04,overcast clouds
226,Vanavara,RU,60.34,102.2797,28.94,91,100,16.28,light snow
227,Bilibino,RU,68.0546,166.4372,10.33,97,80,2.24,broken clouds
228,Kano,NG,12.0001,8.5167,105.69,14,0,10.36,clear sky
229,Katsuura,JP,35.1333,140.3,54.25,84,85,16.49,overcast clouds
230,Kavarna,BG,43.4333,28.3333,56.48,77,49,8.32,scattered clouds
231,Touros,BR,-5.1989,-35.4608,83.16,78,83,15.41,broken clouds
232,Golpayegan,IR,33.4537,50.2884,58.64,44,15,6.62,few clouds
233,Kurumkan,RU,54.3,110.3,42.55,66,77,3.36,broken clouds
234,Tanout,NE,14.9709,8.8879,102.07,8,73,4.99,broken clouds
235,Kloulklubed,PW,7.0419,134.2556,83.14,79,100,12.06,overcast clouds
236,Nueve De Julio,AR,-35.4444,-60.8831,59.16,46,100,6.38,overcast clouds
237,Chengde,CN,40.9725,117.9361,50.4,48,52,1.7,broken clouds
238,Asosa,ET,10.0667,34.5333,70.18,62,87,4.18,overcast clouds
239,Port Said,EG,31.2565,32.2841,69.78,88,0,9.22,clear sky
240,Kodinsk,RU,58.6881,99.1844,37.18,97,100,6.96,overcast clouds
241,Sisimiut,GL,66.9395,-53.6735,28.62,67,100,4.94,overcast clouds
242,Husavik,IS,66.0449,-17.3389,36.72,57,80,4.99,broken clouds
243,Ust-Nera,RU,64.5667,143.2,20.57,97,87,3.09,overcast clouds
