City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Vung Tau,VN,82.17,light rain,10.346,107.0843,Seaside Resort
301,Sarangani,PH,79.29,overcast clouds,5.4033,125.4636,Ballistic Islet
302,Mexico,PH,82.11,broken clouds,15.0646,120.7198,stone place
303,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
304,Cidreira,BR,62.1,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
305,Cherskiy,RU,26.89,overcast clouds,68.75,161.3,Gostinitsa
306,Oloron-Sainte-Marie,FR,56.77,light rain,43.1944,-0.6107,Hotel De La Paix
307,Bay Roberts,CA,46.04,overcast clouds,47.5999,-53.2648,Stonewall Inn
308,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
309,Port Hardy,CA,48.38,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
310,Huarmey,PE,72.3,broken clouds,-10.0681,-78.1522,Hotel Miramar
311,Yulara,AU,64.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
312,Nanortalik,GL,35.01,light snow,60.1432,-45.2371,Hotel Kap Farvel
315,Te Horo,NZ,59.81,overcast clouds,-40.8084,175.1233,Cottage 103
316,Hakkari,TR,49.39,light rain,37.5833,44.1667,Koprucek Koyu Muhtarligi
317,Nantucket,US,54.09,overcast clouds,41.2835,-70.0995,Jared Coffin House
318,Moerai,PF,77.04,light rain,-22.4333,-151.3333,Le Manotel
319,Juegang,CN,61.92,scattered clouds,32.3174,121.1855,Rudong Y Hotel
320,Bogorodskoye,RU,45.68,broken clouds,56.55,37.8833,Sosnoviy Bor
321,Bo Phloi,TH,80.31,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
322,Ancud,CL,52.5,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
323,Pangkalanbuun,ID,75.88,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
324,Magdagachi,RU,31.55,light snow,53.45,125.8,Motopolyana Magdagachi
325,Rosarito,MX,67.41,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
326,Sawtell,AU,59.02,few clouds,-30.3833,153.1,The Bungalow Sawtell
328,Sechura,PE,78.66,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
329,Dodge City,US,59.25,mist,37.7528,-100.0171,Windsor Inn & Suites
330,Izumo,JP,46.35,overcast clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
331,Meiganga,CM,67.8,light rain,6.5167,14.3,DFR HOUSE
332,Escalerillas,MX,80.06,broken clouds,22.1333,-101.0667,Hilton San Luis Potosi
333,Agalatovo,RU,52.74,overcast clouds,60.2195,30.2739,Vacation Home in Kerro
334,Garissa,KE,86.05,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
335,Grakhovo,RU,42.58,light rain,56.0502,51.9676,Gostinitsa Aslan
336,Santa Maria,BR,56.5,moderate rain,-29.6842,-53.8069,Hotel Morotin
337,Channel-Port Aux Basques,CA,38.17,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
338,Maarianhamina,AX,53.46,light rain,60.0973,19.9348,Park Alandia Hotel
339,Carballo,ES,58.01,overcast clouds,43.213,-8.691,Pazo do Souto
340,Derzhavinsk,KZ,47.53,clear sky,51.1,66.3167,Ooo.khim Baza
342,Ayios Nikolaos,GR,60.66,overcast clouds,38.4167,23.65,Lefkadi
344,Salinopolis,BR,80.58,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
345,Balabac,PH,82.0,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
346,Buin,CL,71.87,clear sky,-33.7333,-70.75,Paihuen
347,Saldanha,ZA,75.25,broken clouds,-33.0117,17.9442,Blue Bay Lodge
348,Monticello,US,45.95,overcast clouds,45.3055,-93.7941,Super 8 by Wyndham Monticello
349,Mount Gambier,AU,53.51,scattered clouds,-37.8333,140.7667,The Commodore
350,Proletariy,RU,47.5,overcast clouds,58.4342,31.7046,Tri Kita Mihi-Hotel Bronnitsa
351,Tongliao,CN,55.58,overcast clouds,43.6125,122.2653,Meirujia Hotel
352,Lazaro Cardenas,MX,85.69,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
353,Havre-Saint-Pierre,CA,46.76,clear sky,50.2334,-63.5986,Auberge Niapiskau
354,Cabo Rojo,PR,85.24,overcast clouds,18.0866,-67.1457,Hotel Perichi's
358,Kralendijk,BQ,80.02,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
359,Codrington,AU,55.69,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
360,Benguela,AO,78.4,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
361,Ca Mau,VN,79.93,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
362,Yanggu,CN,61.18,clear sky,36.1106,115.7753,Supply And Marketing Hotel
363,Astana,KZ,51.75,broken clouds,51.1801,71.446,King Hotel Astana
364,Pokrovka,KG,58.33,overcast clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
365,Mangrol,IN,83.34,clear sky,21.1167,70.1167,Hotel The Royal Honours
366,Karratha,AU,81.34,clear sky,-20.7377,116.8463,ibis Styles Karratha
368,Narasannapeta,IN,81.86,broken clouds,18.4167,84.05,AVK events and catering
370,Korla,CN,68.18,broken clouds,41.7597,86.1469,Gulisitan Hotel
371,Brae,GB,41.76,overcast clouds,60.3964,-1.353,Busta House Hotel
372,Gucheng,CN,61.3,clear sky,35.9115,111.3192,古城宾馆
373,Jiuquan,CN,54.95,clear sky,39.7432,98.5174,Jiuquan Hotel
375,Flin Flon,CA,34.41,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
376,Vittoria,IT,64.92,clear sky,36.9537,14.5332,La casa di Jo
377,Resende,BR,79.72,few clouds,-22.4689,-44.4467,Espigão Palace Hotel
379,Muros,ES,60.67,light rain,42.7762,-9.0603,Apartment Av. Castelao
380,Kampot,KH,78.85,heavy intensity rain,10.6167,104.1833,Two Moons Hotel
381,Norsup,VU,79.39,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
382,Lincoln,US,42.13,light rain,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
384,Huambo,AO,60.93,few clouds,-12.7761,15.7392,SiSHotel
385,Jijiga,ET,70.02,broken clouds,9.35,42.8,RAMAAS HOTEL
386,Bubaque,GW,78.39,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
